filtervalid,filteryes,0_Agrees_contact_Future,0_agrees_mention_name_report,0_enum_gender,0_settlement_location,0_Village_location,0_has_email,1_Gender,2_Age,3_settlement_lives_in,4_years_in_settlement,4_months_settlement,5-HH_head,6_relation_HHH,7_highest_level_educ,8_primary_source_income,8_Other_sources,9_income_range,10_HH_size,11_Displacement_status,12_Urban_1_rural₀,13_disability,14_Specify_disability,15_how discoverd_IMC_activities,16_others_sources,16_location_easy_to_find,16_explanation,17_felt_safe,17_explanation_text,18_pay_for_services,18_who_to_pay,19_accessed_WGFS,20_times_attended,21_how_far_travel_to_WGFS,22_interaction_with_HLSS,22_Other,23_staff_professional,24_Received_treatment,25_referred_to_otherplace_ifnecessary,26_referred_where_text,27_how_satisfied_with_service,27_explanations_text,28_recommend_to_friend,28_explanation,29_improvement_suggestions_text,30_wife_can_be_blamed_for_beeing_beaten,31_Husband_should_beat_to_discipline,32_give_opportunity_for_sex,33_rape_solved_comunity,34_treatments_girl_raped_text,35_how_fast_HIV_prev,36_girl_raped_must_marry_man,37_women_moving_after_dark_blame_rape,38_understandable_man_rape_beautiful_woman,39_her_fault_if_beautiful,40_OK_force_sex_wife,41_OK_force_sex_wife_sick,42_no_big_deal_sex_message_uninvited,43_no_big_deal_touch_uninvited,44_menstruation_means_ready_mariage,45_under18_marrige_OK_if_parents_OK,46_family_to_choose_marriage,47_woman_should_have_equal_right,48_women_should_have_equal_opportunities,49_more_important_educate_boys,50_husband_wife_should_decide_together,51_participated_in_consultations,52_IMC_HLSS,52_Community_discussion,52_Walk_ins,52_Other_sensitization,52_SASA,52_EMAP,52_16_days_activism,52_intl_women_day,52_WGFS,52_other,52_spec_other,53_improvement_knowledge,54_Medical_injuries,54_medical_infection,54_prevent_STI,54_prevent_HIV,54_prevent_pregnancy,54_justice_formal,54_justice_trad,54_INGO_protection_services,54_INGO_psy_support,54_comm_psy_support,54_purification_rituals,54_Counselling,54_other,54_noresponse,54_Other_precision,55_recomm_time_seek_help,55_explanation_text,56_men_victims,57_MW_both_willing_help_GBV,58_whom_report_assistance,59_open_discussion_GBV_partner,60_open_discussion_other_women,61_community_open_impact_GBV_community,62_IMC_result_men_more_engaged_prev,62_explanation_text,63_confidence_comm_leader_can_prevent_act,64_likely_assist_another_woman,65_how_text,66_reason_no_assistance,67_men_more_likely_assist,68_WGFS_beneficial,68_explain_text,69_what_like_most_WGFS_text,70_negative_aspect_improvement_WGFS_text,71_other_recommandations_text
Valid,Yes,Yes,Yes,Male,Nyal,Pathiel,No,Female,45-44,Paken,21,6,No,Wife,No education,Support from aid agencies,0,>500 SSP,>11,Host community,Rural area,No,0,Community leaders/women groups,0,Yes,We are always near to where we work.,Yes,We are feel safe,No,0,Yes,1-5times,1 to 5Km / 30-45 min,VSLA,0,Yes,Yes,No,0,Highly satisfied,Because we are always engaging in GBV activities.,Yes,I should advice her and give her some counseling to be health,We need IMC to continue increasing the services offered to us.,Strongly disagree,Disagree,Strongly disagree,Disagree,PEP,Within 72 hours or immediately.,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Strongly agree,Disagree,Strongly agree,Agree,Disagree,Strongly agree,Yes,0,1,0,0,0,0,1,1,1,0,0,Signiﬁcantly increased,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,Within 72 hours,To see the health in the safe time for better treatment,No,More willing,Parent,Very open,Very open,Very open,Agree,Because they are needed to give right to everyone.,Highly confident,Highly likely,I should assist by giving some advice and counseling.,0,Highly likely,Highly beneficial,We are really benefits and get some changes,All those materials we received.,We need some activities to be added like education.,We appreciate IMC for all the support they did to us and we we continue we will have a better life
Valid,Yes,Yes,Yes,Male,Nyal,Nyal,No,Female,25-34,Pathiel,4,11,No,Wife,No education,Participating in the income generating activity with IMC/HLSS,0,>500 SSP,5 to 6,Host community,Rural area,No,0,Community leaders/women groups,0,Yes,No explanation,Yes,"This service provides GBV like bedsheets, crocheting",No,0,Yes,1-5times,Below 1km/ 15 min,WGFS,0,Yes,Yes,Yes,IMC still supports to refer to another organisation,Highly satisfied,"Bedsheets, crocheting, beading, story book, hair plaiting, ludo games",Yes,No explanation,No answer,Disagree,Disagree,Disagree,Disagree,Medicine,Within 72 hours,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Yes,0,0,0,0,0,0,1,0,0,0,0,Signiﬁcantly increased,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Within 72 hours,No explanation,No,More willing,WGFS,Very open,Very open,Very open,Agree,No explanation,Highly confident,Highly likely,Because I am assist survivor in GBV cases like sexual violence in the community to help her service,0,Highly likely,Highly beneficial,GBV center,No explanation,No answer,No answer
Valid,Yes,Yes,Yes,Male,Nyal,Nyal,No,Female,25-34,Pathiel,10,7,No,Wife,No education,Participating in a village savings and loan association set up by IMC/HLSS,0,>500 SSP,7 to 10,Host community,Rural area,No,0,IMC/ HLSS staff,0,Yes,No explanation,Yes,No explanation,No,0,Yes,1-5times,Below 1km/ 15 min,WGFS,0,Yes,Yes,Yes,Beading story books,Highly satisfied,"Hair plaiting, ludo game",Yes,Tea talk on all types of GBV,Covid 19 awareness session,Disagree,Disagree,Disagree,Disagree,Medicine,72 hours,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Yes,0,0,0,0,1,0,0,0,0,0,0,Signiﬁcantly increased,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Within 72 hours,To go to center to help you,Yes,More willing,Religious leader,Don’t know,Very open,Very open,Agree,No explanation,Highly confident,Highly likely,No explanation,0,Highly likely,Highly beneficial,No explanation,No answer,No answer,I am very happy with IMC because it help us provide service
Valid,Yes,Yes,Yes,Male,Nyal,Nyal,No,Female,45 and above,Pathiel,20,8,No,Wife,No education,Trading,0,>500 SSP,>11,Host community,Rural area,No,0,Community leaders/women groups,0,Yes,No explanation,Yes,No explanation,No,0,Yes,1-5times,Below 1km/ 15 min,Any other (Specify),No mention,Yes,Yes,Yes,Referred you to another organisation,Highly satisfied,Share out after 3 months,Yes,No explanation,No answer,Disagree,Disagree,Disagree,Disagree,Medicine,Within 72 hours,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Yes,0,0,0,0,0,0,1,0,0,0,0,Signiﬁcantly increased,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Within 72 hours,No explanation,Yes,Don’t know,Women leader/ group,Very open,Very open,Very open,Agree,No explanation,Highly confident,Highly likely,No explanation,0,Highly likely,Highly beneficial,No explanation,No answer,No answer,Very interesting interview. Tell IMC community of Nyal give you thanks
Valid,Yes,Yes,Yes,Male,Nyal,Nyal,No,Male,45-44,Nyal,12,2,Yes,0,No education,Trading,0,>500 SSP,5 to 6,Host community,Rural area,No,0,Friend or family member,0,No,No explanation,Don't know,Were support to IMC,No,0,Yes,1-5times,Below 1km/ 15 min,Any other (Specify),No mention,No,Yes,Yes,Referred could be better to support,Highly satisfied,No explanation,Yes,No explanation,No answer,Disagree,Disagree,Disagree,Disagree,Medicine,Within 72 hours,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Yes,1,0,0,0,0,0,0,0,0,0,0,Signiﬁcantly increased,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Within 72 hours,No explanation,Yes,More willing,Parent,Not open,Very open,Very open,Disagree,No explanation,Highly confident,Highly likely,No explanation,0,Highly likely,Highly beneficial,No explanation,No answer,No answer,I participated IMC
Valid,Yes,Yes,Yes,Male,Nyal,Nyal,No,Male,25-34,Nyal,20,7,Yes,0,No education,Farming,0,>500 SSP,5 to 6,Host community,Rural area,No,0,Friend or family member,0,No,No explanation,Don't know,No answer,No,0,Yes,1-5times,Below 1km/ 15 min,Any other (Specify),No mention,Yes,Yes,No,0,Highly satisfied,No explanation,Yes,Because GBV help ad more things now we have knowledge a center,Yes,Disagree,Disagree,Disagree,Disagree,Medicine,Within 72 hours,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Yes,0,1,0,0,0,0,0,0,0,0,0,Signiﬁcantly increased,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Within 72 hours,No explanation,Yes,Don’t know,Community leader,Not open,Very open,Don’t know,Agree,No explanation,Highly confident,Highly likely,If you got incident some else I would advice that person to GBV centet,0,Don’t know,Somewhat beneficial,No explanation,No answer,No answer,Since when the flood came we face lot of problems like hunger
Valid,Yes,Yes,Yes,Male,Wau,Hai dinka,No,Female,25-34,Hai dinka,12,12,Yes,0,Some university,Employment,0,>500 SSP,5 to 6,Host community,Urban area,No,0,Outreach activities/ posters,0,No,Am not one of the members at the centre ,Yes,Yes,No,0,No,0,1 to 5Km / 30-45 min,Any other (Specify),EMAP,Yes,No,No,0,Highly satisfied,I have knowledge about violence ,Yes,To go for discussions and case worker ,To increase the number of centres ,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,No idea,Within 72hours ,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Yes,0,0,0,0,1,1,1,0,0,0,0,Signiﬁcantly increased,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,Within 72 hours,Am aware  of all from of violence ,Yes,Somewhat willing,Parent,Very open,Very open,Very open,Agree,Now we are equal with our spouses ,Highly confident,Highly likely,To attend discussions ,0,Highly likely,Highly beneficial,Yes,Training and latency class,No,No
Valid,Yes,Yes,Yes,Male,Nyal,Nyal,No,Female,45-44,Nyal,3,9,Yes,0,No education,Trading,0,>500 SSP,7 to 10,Host community,Rural area,No,0,Friend or family member,0,Don't know,No explanation,No,No explanation,No,0,Yes,5-10 times,Below 1km/ 15 min,Any other (Specify),No mention,Yes,Yes,Yes,They should tell you to benefit treatment you could be better,Highly satisfied,They support to give us non food items,Yes,No explanation,No answer,Disagree,Disagree,Disagree,Disagree,Medicine,Within 72 hours,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Yes,1,0,0,0,0,0,0,0,0,0,0,Signiﬁcantly increased,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Within 72 hours,No explanation,No,More willing,Religious leader,Not open,Not open,Not open,Don’t know,No explanation,Highly confident,Highly likely,No explanation,0,Highly likely,Highly beneficial,No explanation,No answer,No answer,Thanks for the interview
Valid,Yes,Yes,Yes,Male,Nyal,Nyal,No,Female,45-44,Katieth,8,4,No,Wife,No education,Support from aid agencies,0,>500 SSP,7 to 10,Host community,Rural area,No,0,Outreach activities/ posters,0,Yes,No explanation,Yes,No explanation,No,0,Yes,1-5times,Below 1km/ 15 min,Any other (Specify),No mention of any activiyy,Yes,Yes,Yes,If is not available we should wait until the tablet,Highly satisfied,We got everything like underwear to support them,Yes,If you have problem till ad we you idea,Yes,Disagree,Disagree,Disagree,Disagree,Medicine,Within 72 hours,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Yes,1,0,0,0,0,0,0,0,0,0,0,Signiﬁcantly increased,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Within 72 hours,No explanation,No,More willing,Local NGO,Not open,Not open,Not open,Agree,No explanation,Highly confident,Highly likely,No explanation,0,Highly likely,Highly beneficial,No explanation,No explanation,No answer,I am happy IMC helped us with non food items like clothes
Valid,Yes,Yes,Yes,Male,Nyal,Nyal,No,Female,18-24,Katieth,5,1,Yes,0,No education,Fishing,0,>500 SSP,5 to 6,Host community,Rural area,No,0,Community discussions,0,No,In the same area where I live,No,"If you don't have service, am not feel very well because of service",No,0,Yes,1-5times,Below 1km/ 15 min,Any other (Specify),No answer,No,Yes,Yes,Could better to IMC support you to referred treatment you to provide drug,Highly satisfied,GBV give services,Yes,GBV training you more of knowledge,No answer,Disagree,Disagree,Disagree,Disagree,Medicine,Within 72 hours,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Yes,1,0,0,0,0,0,0,0,0,0,0,Signiﬁcantly increased,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Within 72 hours,No explanation,No,More willing,Local NGO,Not open,Very open,Very open,Disagree,No explanation,Highly confident,Highly likely,No explanation,0,Highly likely,Highly beneficial,No explanation,No answer,No answet,No
